                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.39532,                0.66247,                 0.9487,                0.91333,                0.86682,                0.93054,                0.77334,                0.71603,                 0.5739,                 1.1039,               0.006436,               0.006436,               0.006436
                     38,                 0.3936,                0.65423,                0.94741,                0.91802,                0.86524,                 0.9308,                0.77537,                0.71163,                0.57233,                 1.1002,               0.006337,               0.006337,               0.006337
                     39,                0.38562,                0.64187,                0.94259,                0.91754,                0.86234,                0.93169,                 0.7782,                0.70855,                0.56796,                 1.0968,               0.006238,               0.006238,               0.006238
                     40,                0.39133,                0.64554,                 0.9478,                0.91184,                0.87121,                0.93181,                0.78189,                0.70651,                0.56432,                 1.0955,               0.006139,               0.006139,               0.006139
                     41,                0.38671,                0.63356,                0.94463,                0.91606,                 0.8735,                0.93442,                0.78431,                 0.7044,                0.56076,                 1.0939,                0.00604,                0.00604,                0.00604
                     42,                0.38526,                0.63034,                0.94452,                0.91584,                 0.8744,                0.93631,                0.78564,                 0.7009,                0.55835,                 1.0906,               0.005941,               0.005941,               0.005941
                     43,                0.38528,                0.62616,                0.94279,                0.91777,                 0.8725,                0.93714,                0.78747,                0.70013,                0.55479,                 1.0894,               0.005842,               0.005842,               0.005842
                     44,                0.38361,                0.62166,                0.94168,                0.90698,                0.88027,                0.93804,                  0.789,                0.69824,                0.55277,                 1.0879,               0.005743,               0.005743,               0.005743
                     45,                 0.3828,                0.61488,                0.94276,                0.91153,                0.88179,                 0.9392,                0.79054,                0.69604,                0.54991,                 1.0864,               0.005644,               0.005644,               0.005644
                     46,                0.37948,                0.60998,                0.94014,                0.91364,                0.88142,                0.93951,                0.79162,                0.69459,                0.54649,                 1.0852,               0.005545,               0.005545,               0.005545
                     47,                0.38011,                 0.6084,                0.94039,                0.91389,                 0.8838,                 0.9397,                0.79265,                0.69307,                0.54304,                 1.0838,               0.005446,               0.005446,               0.005446
                     48,                0.37653,                0.59946,                0.93937,                0.91002,                0.88696,                 0.9406,                0.79473,                0.69186,                0.54044,                 1.0827,               0.005347,               0.005347,               0.005347
                     49,                0.37442,                0.59735,                0.93855,                0.91484,                0.88792,                0.94113,                0.79566,                0.69103,                0.53691,                 1.0821,               0.005248,               0.005248,               0.005248
                     50,                0.37302,                0.59183,                0.93719,                0.91757,                0.88876,                0.94184,                0.79633,                0.69013,                0.53434,                 1.0814,               0.005149,               0.005149,               0.005149
                     51,                0.36984,                0.58776,                0.93611,                0.91824,                0.88503,                0.94237,                0.79739,                 0.6886,                0.53196,                 1.0804,                0.00505,                0.00505,                0.00505
                     52,                0.37013,                0.57961,                0.93463,                0.91604,                0.88885,                0.94279,                0.79849,                 0.6864,                0.52899,                 1.0789,               0.004951,               0.004951,               0.004951
